Collector Crypt marketplace depth scout: 1210/1210 pages, 4783 distinct card+grade groups

TOP 40 BY LISTING DEPTH (all categories)
   4 listings | floor $   349.00 | median $   400.00 | 2023 #201 Alakazam EX PSA 10 Mew EN-151 Pokemon
   4 listings | floor $   408.00 | median $   414.50 | 2021 #184 Full Art/Sylveon V PSA 10 Sword & Shield Evolving Skies
   4 listings | floor $   143.00 | median $   179.50 | 2024 #211 Espeon EX PSA 10 Japanese Sv8a-Terastal Fest EX
   4 listings | floor $   110.00 | median $   120.00 | 2021 #203 Full Art/Ice Rider Calyrex Vmax PSA 10 Sword & Shield Chilli
   4 listings | floor $   199.00 | median $   240.00 | 2023 #GG45 Full Art/Deoxys Vmax PSA 10 Sword and Shield Crown Zenith P
   4 listings | floor $   470.00 | median $   550.00 | 2023 #198 Venusaur EX PSA 10 Mew EN-151 Pokemon
   4 listings | floor $   105.00 | median $   120.50 | 2023 #331 Charizard EX PSA 10 Japanese Sv4a-Shiny Treasure EX Pokemon
   4 listings | floor $   340.00 | median $   379.50 | 2022 #167 Full Art/Origin Forme Palkia V PSA 10 Sword & Shield Astral 
   4 listings | floor $   399.00 | median $   399.50 | 2024 #131 Kingdra EX PSA 10 Svp EN-SV Black Star Promo Pokemon
   4 listings | floor $   179.00 | median $   220.00 | 2024 #206 Glaceon EX PSA 10 Japanese Sv8a-Terastal Fest EX Pokemon
   3 listings | floor $   280.00 | median $   285.50 | 2025 #161 Articuno PSA 10 Jtg EN-Journey Together
   3 listings | floor $   175.00 | median $   180.00 | 2025 #185 N's Zoroark EX PSA 10 Jtg EN-Journey Together
   3 listings | floor $   255.00 | median $   269.00 | 2024 #088 Pikachu PSA 10 Svp EN-SV Black Star Promo Pokemon
   3 listings | floor $  1520.00 | median $  1550.00 | 2021 #194 Full Art/Rayquaza V PSA 10 Sword & Shield Evolving Skies
   3 listings | floor $  1590.00 | median $  1650.00 | 2025 #172 Zekrom EX PSA 10 Blk EN-Black Bolt Pokemon
   3 listings | floor $  1500.00 | median $  1550.00 | 2023 #199 Charizard EX PSA 10 Mew EN-151
